time,permits_count
1988-01,71.7
1988-02,93.3
1988-03,140.4
1988-04,135.3
1988-05,138.7
1988-06,153.9
1988-07,121.7
1988-08,137.3
1988-09,127.9
1988-10,124.0
1988-11,110.0
1988-12,101.4
1989-01,88.5
1989-02,86.0
1989-03,116.4
1989-04,122.9
1989-05,135.2
1989-06,137.2
1989-07,108.3
1989-08,125.6
1989-09,110.7
1989-10,116.5
1989-11,98.9
1989-12,92.3
1990-01,112.6
1990-02,82.8
1990-03,111.0
1990-04,105.8
1990-05,107.9
1990-06,111.6
1990-07,96.2
1990-08,99.8
1990-09,79.2
1990-10,82.5
1990-11,67.8
1990-12,53.6
1991-01,51.5
1991-02,54.1
1991-03,78.7
1991-04,90.9
1991-05,98.3
1991-06,93.2
1991-07,91.3
1991-08,84.9
1991-09,80.6
1991-10,89.8
1991-11,67.1
1991-12,68.5
1992-01,67.9
1992-02,72.6
1992-03,97.7
1992-04,103.9
1992-05,97.1
1992-06,109.2
1992-07,101.1
1992-08,93.0
1992-09,99.2
1992-10,97.1
1992-11,76.4
1992-12,79.5
1993-01,67.1
1993-02,73.1
1993-03,99.1
1993-04,107.3
1993-05,101.7
1993-06,117.8
1993-07,104.5
1993-08,111.9
1993-09,111.5
1993-10,107.0
1993-11,98.1
1993-12,100.1
1994-01,80.7
1994-02,81.7
1994-03,126.4
1994-04,127.6
1994-05,131.4
1994-06,138.8
1994-07,114.8
1994-08,131.5
1994-09,127.2
1994-10,117.0
1994-11,100.5
1994-12,94.2
1995-01,78.0
1995-02,80.4
1995-03,111.5
1995-04,109.7
1995-05,122.8
1995-06,129.3
1995-07,115.6
1995-08,133.5
1995-09,124.1
1995-10,122.2
1995-11,107.8
1995-12,97.4
1996-01,88.3
1996-02,96.0
1996-03,120.4
1996-04,140.1
1996-05,140.5
1996-06,131.4
1996-07,135.1
1996-08,129.1
1996-09,121.1
1996-10,123.7
1996-11,100.7
1996-12,99.2
1997-01,88.1
1997-02,94.1
1997-03,120.1
1997-04,137.2
1997-05,131.6
1997-06,133.6
1997-07,133.7
1997-08,126.0
1997-09,134.4
1997-10,135.5
1997-11,100.4
1997-12,106.4
1998-01,96.2
1998-02,107.4
1998-03,140.9
1998-04,146.3
1998-05,138.2
1998-06,153.4
1998-07,149.3
1998-08,144.7
1998-09,141.7
1998-10,149.8
1998-11,119.9
1998-12,124.5
1999-01,105.7
1999-02,114.7
1999-03,154.6
1999-04,151.8
1999-05,145.1
1999-06,169.3
1999-07,149.1
1999-08,151.9
1999-09,137.3
1999-10,137.6
1999-11,125.6
1999-12,120.9
2000-01,107.3
2000-02,121.8
2000-03,153.7
2000-04,138.9
2000-05,148.9
2000-06,155.1
2000-07,129.8
2000-08,146.8
2000-09,131.4
2000-10,134.8
2000-11,121.0
2000-12,102.9
2001-01,117.0
2001-02,114.3
2001-03,147.7
2001-04,148.6
2001-05,159.8
2001-06,153.9
2001-07,140.6
2001-08,151.4
2001-09,125.2
2001-10,140.2
2001-11,124.4
2001-12,113.6
2002-01,115.7
2002-02,122.5
2002-03,143.2
2002-04,156.0
2002-05,164.2
2002-06,158.0
2002-07,159.3
2002-08,153.7
2002-09,149.5
2002-10,162.9
2002-11,126.8
2002-12,135.8
2003-01,126.4
2003-02,128.5
2003-03,148.4
2003-04,167.6
2003-05,169.5
2003-06,175.8
2003-07,173.0
2003-08,169.9
2003-09,169.1
2003-10,182.8
2003-11,130.5
2003-12,147.9
2004-01,132.0
2004-02,137.1
2004-03,190.7
2004-04,192.5
2004-05,188.4
2004-06,197.1
2004-07,185.9
2004-08,185.2
2004-09,174.9
2004-10,174.5
2004-11,156.4
2004-12,155.2
2005-01,139.7
2005-02,149.4
2005-03,190.5
2005-04,193.2
2005-05,193.1
2005-06,211.9
2005-07,185.5
2005-08,208.0
2005-09,193.7
2005-10,176.0
2005-11,162.9
2005-12,151.3
2006-01,152.6
2006-02,151.0
2006-03,194.2
2006-04,168.6
2006-05,184.4
2006-06,184.2
2006-07,148.0
2006-08,161.2
2006-09,136.6
2006-10,133.1
2006-11,111.4
2006-12,113.6
2007-01,114.1
2007-02,112.1
2007-03,139.4
2007-04,130.9
2007-05,146.0
2007-06,135.6
2007-07,122.5
2007-08,126.0
2007-09,100.5
2007-10,103.8
2007-11,89.5
2007-12,77.8
2008-01,77.4
2008-02,75.0
2008-03,79.1
2008-04,91.5
2008-05,92.3
2008-06,110.6
2008-07,85.9
2008-08,76.3
2008-09,70.9
2008-10,63.7
2008-11,41.5
2008-12,41.2
2009-01,37.6
2009-02,39.2
2009-03,45.4
2009-04,47.8
2009-05,49.5
2009-06,61.3
2009-07,56.1
2009-08,54.0
2009-09,52.9
2009-10,47.9
2009-11,42.1
2009-12,49.2
2010-01,40.4
2010-02,45.3
2010-03,64.1
2010-04,58.9
2010-05,51.1
2010-06,59.2
2010-07,51.6
2010-08,53.7
2010-09,48.5
2010-10,43.5
2010-11,40.9
2010-12,47.6
2011-01,36.3
2011-02,37.7
2011-03,54.4
2011-04,50.7
2011-05,57.3
2011-06,63.8
2011-07,52.6
2011-08,62.6
2011-09,53.2
2011-10,52.0
2011-11,51.9
2011-12,51.6
2012-01,47.8
2012-02,53.5
2012-03,69.5
2012-04,64.1
2012-05,77.7
2012-06,75.9
2012-07,74.1
2012-08,80.0
2012-09,73.7
2012-10,77.5
2012-11,68.7
2012-12,67.2
2013-01,65.5
2013-02,67.8
2013-03,77.7
2013-04,92.8
2013-05,97.2
2013-06,85.7
2013-07,90.2
2013-08,87.1
2013-09,83.1
2013-10,92.5
2013-11,73.5
2013-12,77.8
2014-01,68.6
2014-02,72.3
2014-03,86.3
2014-04,99.1
2014-05,93.8
2014-06,95.7
2014-07,97.1
2014-08,90.3
2014-09,92.7
2014-10,98.4
2014-11,72.8
2014-12,85.0
2015-01,71.0
2015-02,78.6
2015-03,92.5
2015-04,106.0
2015-05,111.9
2015-06,134.8
2015-07,103.2
2015-08,98.4
2015-09,98.3
2015-10,99.3
2015-11,91.0
2015-12,97.5
2016-01,76.2
2016-02,86.3
2016-03,99.8
2016-04,101.9
2016-05,110.3
2016-06,117.6
2016-07,97.9
2016-08,111.6
2016-09,111.7
2016-10,104.0
2016-11,94.5
2016-12,94.8
2017-01,90.6
2017-02,86.9
2017-03,115.3
2017-04,105.0
2017-05,115.3
2017-06,130.8
2017-07,102.9
2017-08,122.1
2017-09,103.3
2017-10,116.3
2017-11,98.8
2017-12,94.8
2018-01,98.4
2018-02,93.4
2018-03,119.4
2018-04,121.5
2018-05,126.9
2018-06,123.3
2018-07,114.5
2018-08,118.2
2018-09,100.4
2018-10,113.9
2018-11,102.3
2018-12,96.6
2019-01,96.0
2019-02,91.2
2019-03,107.8
2019-04,121.2
2019-05,127.0
2019-06,113.8
2019-07,121.9
2019-08,131.5
2019-09,118.3
2019-10,135.8
2019-11,111.0
2019-12,110.7
2020-01,116.4
2020-02,102.9
2020-03,119.0
2020-04,98.4
2020-05,107.3
2020-06,127.2
2020-07,138.9
2020-08,128.9
2020-09,136.3
2020-10,135.9
2020-11,123.1
2020-12,137.0
2021-01,131.9
2021-02,122.5
2021-03,160.3
2021-04,160.6
2021-05,144.5
2021-06,156.8
2021-07,141.1
2021-08,156.8
2021-09,136.2
2021-10,137.7
2021-11,133.4
2021-12,155.3
2022-01,134.4
2022-02,134.0
2022-03,173.0
2022-04,160.2
2022-05,153.8
2022-06,163.2
2022-07,139.0
2022-08,144.0
2022-09,135.5
2022-10,125.9
2022-11,106.8
2022-12,110.6
2023-01,107.2
2023-02,116.3
2023-03,137.0
2023-04,121.7
2023-05,145.0
2023-06,141.6
2023-07,122.5
2023-08,147.0
2023-09,120.8
2023-10,129.2
2023-11,112.6
2023-12,110.3
2024-01,117.0
2024-02,121.2
2024-03,126.0
2024-04,133.8
2024-05,133.6
2024-06,126.6
2024-07,127.2
2024-08,132.5
2024-09,113.9
2024-10,125.4
2024-11,107.7
2024-12,112.9
2025-01,111.5
2025-02,106.4
2025-03,124.2
2025-04,129.9
2025-05,124.9
2025-06,128.5
2025-07,121.5
2025-08,113.9
2025-09,118.2
2025-10,125.0
2025-11,94.1
2025-12,117.6
